sample_id,label,simple_prediction,full_prediction,outcome
m1_0_01,0,0,0,both_correct
m1_0_02,0,0,0,both_correct
m1_0_03,0,0,0,both_correct
m1_0_04,0,0,0,both_correct
m1_0_05,0,0,0,both_correct
m1_1_01,1,8,1,wrong_to_correct
m1_1_02,1,0,1,wrong_to_correct
m1_1_03,1,0,1,wrong_to_correct
m1_1_04,1,0,1,wrong_to_correct
m1_1_05,1,0,1,wrong_to_correct
m1_2_01,2,8,2,wrong_to_correct
m1_2_02,2,8,2,wrong_to_correct
m1_2_03,2,8,2,wrong_to_correct
m1_2_04,2,8,2,wrong_to_correct
m1_2_05,2,8,2,wrong_to_correct
m1_3_01,3,8,3,wrong_to_correct
m1_3_02,3,8,3,wrong_to_correct
m1_3_03,3,8,3,wrong_to_correct
m1_3_04,3,8,3,wrong_to_correct
m1_3_05,3,8,3,wrong_to_correct
m1_4_01,4,8,4,wrong_to_correct
m1_4_02,4,8,4,wrong_to_correct
m1_4_03,4,8,4,wrong_to_correct
m1_4_04,4,8,9,both_wrong
m1_4_05,4,0,9,both_wrong
m1_5_01,5,8,5,wrong_to_correct
m1_5_02,5,8,5,wrong_to_correct
m1_5_03,5,8,5,wrong_to_correct
m1_5_04,5,8,5,wrong_to_correct
m1_5_05,5,8,5,wrong_to_correct
m1_6_01,6,8,6,wrong_to_correct
m1_6_02,6,8,6,wrong_to_correct
m1_6_03,6,8,6,wrong_to_correct
m1_6_04,6,8,6,wrong_to_correct
m1_6_05,6,8,6,wrong_to_correct
m1_7_01,7,0,7,wrong_to_correct
m1_7_02,7,0,7,wrong_to_correct
m1_7_03,7,0,7,wrong_to_correct
m1_7_04,7,8,7,wrong_to_correct
m1_7_05,7,0,7,wrong_to_correct
m1_8_01,8,8,8,both_correct
m1_8_02,8,8,3,correct_to_wrong
m1_8_03,8,8,8,both_correct
m1_8_04,8,8,8,both_correct
m1_8_05,8,8,8,both_correct
m1_9_01,9,8,9,wrong_to_correct
m1_9_02,9,8,9,wrong_to_correct
m1_9_03,9,8,9,wrong_to_correct
m1_9_04,9,8,9,wrong_to_correct
m1_9_05,9,8,9,wrong_to_correct
m6_0_01,0,8,0,wrong_to_correct
m6_0_02,0,0,0,both_correct
m6_0_03,0,0,0,both_correct
m6_0_04,0,0,0,both_correct
m6_0_05,0,8,0,wrong_to_correct
m6_1_01,1,4,1,wrong_to_correct
m6_1_02,1,4,7,both_wrong
m6_1_03,1,4,1,wrong_to_correct
m6_1_04,1,0,1,wrong_to_correct
m6_1_05,1,0,1,wrong_to_correct
m6_2_01,2,8,2,wrong_to_correct
m6_2_02,2,8,2,wrong_to_correct
m6_2_03,2,8,2,wrong_to_correct
m6_2_04,2,8,2,wrong_to_correct
m6_2_05,2,4,2,wrong_to_correct
m6_3_01,3,0,3,wrong_to_correct
m6_3_02,3,8,3,wrong_to_correct
m6_3_03,3,4,1,both_wrong
m6_3_04,3,8,3,wrong_to_correct
